verse_id,lang,chars,gpt_tokens,o200k_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_spm_tok
65,sa_latn,93,50,35,16,1.86,2.657142857142857,5.8125
65,hi,150,143,50,40,1.048951048951049,3.0,3.75
65,en,170,39,39,39,4.358974358974359,4.358974358974359,4.358974358974359
66,sa,112,110,52,25,1.018181818181818,2.1538461538461537,4.48
66,sa_latn,122,72,55,23,1.6944444444444444,2.2181818181818183,5.304347826086956
66,hi,221,211,73,54,1.04739336492891,3.0273972602739727,4.092592592592593
66,en,205,48,48,47,4.270833333333333,4.270833333333333,4.361702127659575
67,sa,81,77,42,18,1.051948051948052,1.9285714285714286,4.5
67,sa_latn,91,55,36,16,1.6545454545454545,2.5277777777777777,5.6875
67,hi,145,137,49,36,1.0583941605839415,2.9591836734693877,4.027777777777778
67,en,127,31,30,28,4.096774193548387,4.233333333333333,4.535714285714286
68,sa,111,113,52,21,0.9823008849557522,2.1346153846153846,5.285714285714286
68,sa_latn,112,79,59,20,1.4177215189873418,1.8983050847457628,5.6
68,hi,173,163,48,36,1.0613496932515338,3.6041666666666665,4.805555555555555
68,en,146,34,34,36,4.294117647058823,4.294117647058823,4.055555555555555
69,sa,87,84,45,22,1.0357142857142858,1.9333333333333333,3.9545454545454546
69,sa_latn,95,57,41,17,1.6666666666666667,2.317073170731707,5.588235294117647
69,hi,159,151,55,40,1.0529801324503312,2.890909090909091,3.975
69,en,98,24,24,24,4.083333333333333,4.083333333333333,4.083333333333333
70,sa,85,92,45,21,0.9239130434782609,1.8888888888888888,4.0476190476190474
70,sa_latn,100,61,43,20,1.639344262295082,2.3255813953488373,5.0
70,hi,145,150,61,35,0.9666666666666667,2.377049180327869,4.142857142857143
70,en,154,39,38,30,3.948717948717949,4.052631578947368,5.133333333333334
71,sa,86,95,49,16,0.9052631578947369,1.7551020408163265,5.375
71,sa_latn,91,48,37,17,1.8958333333333333,2.4594594594594597,5.352941176470588
71,hi,109,113,37,24,0.9646017699115044,2.945945945945946,4.541666666666667
71,en,118,29,29,24,4.068965517241379,4.068965517241379,4.916666666666667
72,sa,86,87,41,16,0.9885057471264368,2.097560975609756,5.375
72,sa_latn,95,57,38,17,1.6666666666666667,2.5,5.588235294117647
72,hi,143,136,45,33,1.0514705882352942,3.1777777777777776,4.333333333333333
72,en,141,34,34,32,4.147058823529412,4.147058823529412,4.40625
73,sa,95,91,43,19,1.043956043956044,2.2093023255813953,5.0
73,sa_latn,100,56,43,17,1.7857142857142858,2.3255813953488373,5.882352941176471
73,hi,136,139,41,27,0.9784172661870504,3.317073170731707,5.037037037037037
73,en,145,31,31,30,4.67741935483871,4.67741935483871,4.833333333333333
74,sa,82,80,36,15,1.025,2.2777777777777777,5.466666666666667
74,sa_latn,83,40,34,16,2.075,2.4411764705882355,5.1875
74,hi,178,176,51,40,1.0113636363636365,3.4901960784313726,4.45
74,en,130,32,31,27,4.0625,4.193548387096774,4.814814814814815
75,sa,120,133,66,28,0.9022556390977443,1.8181818181818181,4.285714285714286
75,sa_latn,147,80,67,25,1.8375,2.1940298507462686,5.88
75,hi,174,177,50,40,0.9830508474576272,3.48,4.35
75,en,156,35,35,35,4.457142857142857,4.457142857142857,4.457142857142857
76,sa,88,89,41,15,0.9887640449438202,2.1463414634146343,5.866666666666666
76,sa_latn,93,53,40,15,1.7547169811320755,2.325,6.2
76,hi,106,101,30,22,1.0495049504950495,3.533333333333333,4.818181818181818
76,en,102,24,24,22,4.25,4.25,4.636363636363637
77,sa,101,98,47,20,1.030612244897959,2.148936170212766,5.05
77,sa_latn,105,55,44,20,1.9090909090909092,2.3863636363636362,5.25
77,hi,192,188,47,39,1.0212765957446808,4.085106382978723,4.923076923076923
77,en,165,34,34,32,4.852941176470588,4.852941176470588,5.15625
78,sa,90,94,45,19,0.9574468085106383,2.0,4.7368421052631575
78,sa_latn,101,65,44,16,1.5538461538461539,2.2954545454545454,6.3125
78,hi,167,159,42,34,1.050314465408805,3.9761904761904763,4.911764705882353
78,en,152,31,31,27,4.903225806451613,4.903225806451613,5.62962962962963
79,sa,96,89,46,20,1.0786516853932584,2.0869565217391304,4.8
79,sa_latn,102,64,43,19,1.59375,2.372093023255814,5.368421052631579
79,hi,162,159,44,33,1.0188679245283019,3.6818181818181817,4.909090909090909
79,en,126,25,25,25,5.04,5.04,5.04
80,sa,88,90,45,16,0.9777777777777777,1.9555555555555555,5.5
80,sa_latn,88,52,40,14,1.6923076923076923,2.2,6.285714285714286
80,hi,87,94,28,18,0.925531914893617,3.107142857142857,4.833333333333333
80,en,106,25,25,23,4.24,4.24,4.608695652173913
81,sa,89,88,45,18,1.0113636363636365,1.9777777777777779,4.944444444444445
81,sa_latn,97,64,46,20,1.515625,2.108695652173913,4.85
81,hi,158,163,50,36,0.9693251533742331,3.16,4.388888888888889
81,en,147,30,30,30,4.9,4.9,4.9
82,sa,91,93,43,22,0.978494623655914,2.116279069767442,4.136363636363637
82,sa_latn,95,56,42,19,1.6964285714285714,2.261904761904762,5.0
82,hi,169,169,56,29,1.0,3.017857142857143,5.827586206896552
82,en,129,30,29,25,4.3,4.448275862068965,5.16
83,sa,103,96,45,20,1.0729166666666667,2.2888888888888888,5.15
83,sa_latn,102,63,46,16,1.619047619047619,2.217391304347826,6.375
83,hi,203,194,64,45,1.0463917525773196,3.171875,4.511111111111111
83,en,224,50,49,47,4.48,4.571428571428571,4.76595744680851
84,sa,84,89,44,17,0.9438202247191011,1.9090909090909092,4.9411764705882355
